"TID","UA"
"string","string"
"TID_BATTLE_END_QUESTS_COMPLETED","Пройдено квестів: <NUM>"
"TID_BATTLE_END_QUESTS_PROGRESSED","Прогрес у квестах: <NUM>"
"TID_TICKET_COMPENSATION_TITLE","ВИЙШЛО ОНОВЛЕННЯ!"
"TID_TICKET_COMPENSATION_INFO","Ми обміняли твої квитки на кристали! Квитків у грі більше не буде, тож вони тобі вже не знадобляться."
"TID_TICKET_COMPENSATION_CLAIM","ЗАБРАТИ"
"TID_BRAWL_PASS_OLD_BOXES_TITLE","ВІДКРИТИ ЗАЛИШЕНІ СКРИНІ"
"TID_BRAWL_PASS_QUESTS_LABEL","КВЕСТИ"
"TID_BRAWL_PASS_QUESTS_INFO_LOCKED","Щоб розблокувати квести, набери <TROPHIES> трофеїв!"
"TID_BRAWL_PASS_QUESTS_INFO_UNCLAIMED","Тепер на шляху до слави можна розблокувати квести!"
"TID_BRAWL_PASS_QUESTS_UNCLAIMED_FLOATER","Вирушай на шлях до слави, щоб розблокувати квести."
"TID_BRAWL_PASS_QUESTS_CLAIM_NEXT","Відкривай квести на шляху до слави!"
"TID_BRAWL_PASS_QUESTS_CLAIM_TR_REWARDS","Отримуй нагороди шляху до слави, щоб розблокувати квести!"
"TID_BRAWL_PASS_BUY_PROGRESS_LABEL","КУПИТИ РІВЕНЬ"
"TID_QUESTS_TITLE","КВЕСТИ"
"TID_QUEST_DESC_1","ВИГРАЙ БІЙ <AMOUNT> Р."
"TID_QUEST_DESC_2","ПЕРЕМОЖИ ВОРОГА <AMOUNT> Р."
"TID_QUEST_DESC_3","ЗАДАЙ <AMOUNT> ОД. ШКОДИ"
"TID_QUEST_DESC_4","ВИЛІКУЙ <AMOUNT> ОД. ЗДОРОВ’Я"
"TID_QUEST_DESC_5","СКОРИСТАЙСЯ КНОПКОЮ «ГРАТИ ЗНОВУ» <NUM> Р."
"TID_QUEST_DESC_6","ЗІГРАЙ У КОМАНДІ <NUM> Р."
"TID_QUEST_DESC_7_MODE_0","УТРИМУЙ НЕ МЕНШЕ <LIMIT> КРИСТАЛІВ ПРОТЯГОМ <AMOUNT> С."
"TID_QUEST_DESC_7_MODE_2","ЗАДАЙ СЕЙФУ <AMOUNT> ОЧК. ШКОДИ"
"TID_QUEST_DESC_7_MODE_3","ЗАВЕРШИ БІЙ <AMOUNT> Р., МАЮЧИ НЕ МЕНШЕ <LIMIT> ЗІРОК."
"TID_QUEST_DESC_7_MODE_5","ПЕРЕДАЙ М’ЯЧ <AMOUNT> Р."
"TID_QUEST_DESC_7_MODE_6","ЗБЕРИ КУБИКИ ПІДСИЛЕННЯ (<AMOUNT> ШТ.)"
"TID_QUEST_DESC_7_MODE_9","ЗБЕРИ КУБИКИ ПІДСИЛЕННЯ (<AMOUNT> ШТ.), ПОКИ ОБИДВА ГРАВЦІ АКТИВНІ"
"TID_QUEST_DESC_7_MODE_17","УТРИМУЙ ЗОНИ ПРОТЯГОМ <AMOUNT> С."
"TID_QUEST_DESC_7_MODE_20","НЕ ДАЙ ПЕРЕМОГТИ СЕБЕ ПРОТЯГОМ <AMOUNT> РАУНДІВ"
"TID_QUEST_DESC_7_MODE_34","ЗДІЙСНИ ВТЕЧУ З <AMOUNT> ТРОФЕЯМИ"
"TID_QUEST_DESC_10","ЗІГРАЙ МАТЧ З ТОВАРИШЕМ ПО КЛУБУ <NUM> Р."
"TID_QUEST_DESC_11","БИЙСЯ У БОЮ <AMOUNT> Р."
"TID_QUEST_DESC_1_LEVELED","ПРОЙДИ РІВЕНЬ"
"TID_QUEST_DESC_1_BIG_GAME","ВИГРАЙ БІЙ <AMOUNT> Р."
"TID_QUEST_DESC_1_BIG_GAME_SINGLE","ВИГРАЙ БІЙ <AMOUNT> Р."
"TID_QUEST_HERO_CONDITION","\nЗ БІЙЦЕМ <HERO>"
"TID_QUEST_HERO_CONDITION_2","\nЗ БІЙЦЕМ <HERO_1> АБО <HERO_2>"
"TID_QUEST_HERO_CONDITION_3","\nЗ БІЙЦЕМ <HERO_1>, <HERO_2> АБО <HERO_3>"
"TID_QUEST_MODE_CONDITION","\nУ РЕЖИМІ «<MODE>»"
"TID_QUEST_MODE_CONDITION_2","\nУ РЕЖИМІ «<MODE_1>» АБО «<MODE_2>»"
"TID_QUEST_PLAYAGAIN_CONDITION","\nЗ ТОВАРИШЕМ ПО КОМАНДІ"
"TID_QUEST_NEW","НОВЕ"
"TID_QUEST_PREMIUM","ТІЛЬКИ З BRAWL PASS"
"TID_RANK_POPUP_QUESTS","КВЕСТИ"
"TID_RANK_POPUP_CLUB_FEATURE","КЛУБИ"
"TID_BRAWL_PASS_POPUP_TITLE","BRAWL PASS"
"TID_BRAWL_PASS_POPUP_INFO","<SEASON>-Й СЕЗОН"
"TID_BRAWL_PASS_BACK_TO_CURRENT_SEASON","НАЗАД ДО ПОТОЧНОГО СЕЗОНУ"
"TID_BRAWL_PASS_PREVIOUS_SEASON","ПОПЕРЕДНІЙ СЕЗОН"
"TID_BRAWL_PASS_PREVIOUS_SEASON_INFO","НАТИСНИ ТУТ, ЩОБ ЗАБРАТИ НАГОРОДИ!"
"TID_BRAWL_PASS_UNLOCK_INFO","ПРЕМІУМ-НАГОРОДИ ЗАБЛОКОВАНІ!"
"TID_BRAWL_PASS_UNLOCK_LABEL","РОЗБЛОКУВАТИ"
"TID_BRAWLPASS_PURCHASE_ERROR_3","Brawl Pass цього сезону вже куплено."
"TID_BRAWLPASS_PURCHASE_ERROR_4","На жаль, цей Brawl Pass уже недоступний."
"TID_BRAWLPASS_PURCHASE_ERROR_5","НАБІР BRAWL PASS недоступний. Усі нагороди вже зароблені."
"TID_BRAWLPASS_PURCHASE_ERROR_6","Купівля Brawl Pass уже обробляється."
"TID_PURCHASE_BRAWL_PASS_PROGRESS_TITLE","ПРОЙТИ РІВЕНЬ?"
"TID_PURCHASE_BRAWL_PASS_PROGRESS_INFO","Купити <NUM> очок досвіду Brawl Pass і перейти на наступний рівень нагород?"
"TID_PURCHASE_BRAWL_PASS_TITLE","КУПИТИ BRAWL PASS"
"TID_PURCHASE_BRAWL_PASS_TITLE_PLAIN","BRAWL PASS"
"TID_PURCHASE_BRAWL_PASS_TITLE_BUNDLE","НАБІР BRAWL PASS"
"TID_PURCHASE_BRAWL_PASS_INFO_PLAIN","Розблокуй нагороди Brawl Pass і додаткові квести"
"TID_PURCHASE_BRAWL_PASS_INFO_BUNDLE","BRAWL PASS + РІВНІ (<NUM>)"
"TID_BRAWL_PASS_CANNOT_PURCHASE_BRAWL_PASS_FOR_PAST_SEASON","Купити Brawl Pass минулих сезонів неможливо."
"TID_BRAWL_PASS_CANNOT_PURCHASE_NO_SEASON_FOUND","Brawl Pass поточного сезону не знайдено. Спробуй ще раз пізніше."
"TID_BRAWL_PASS_CANNOT_PURCHASE_ALREADY_UNLOCKED","Цей сезон Brawl Pass уже розблоковано"
"TID_TAKEDOWNS_LABEL","ПЕРЕМОГИ"
"TID_DEFEAT_LABEL","ПОРАЗКА"
"TID_UNDERDOG","АУТСАЙДЕР"
"TID_ACCESSORY","ГАДЖЕТ"
"TID_BATTLE_END_COIN_SHOWER","ЛАВИНА МОНЕТ"
"TID_BATTLE_END_CC_SHOWER","ХРОМАЛАВИНА"
"TID_LFG_POPUP_TITLE_MEMBER","ШУКАТИ УЧАСНИКА"
"TID_LFG_POPUP_TITLE_TEAM","ШУКАТИ КОМАНДУ"
"TID_LFG_POPUP_INFO_MEMBER","Пошук гравців для гри в команді"
"TID_LFG_POPUP_INFO_TEAM","Шукати гравця для цієї команди"
"TID_LFG_POPUP_EVENT_LABEL_MEMBER","Умови участі (натисни, щоб змінити)"
"TID_LFG_POPUP_EVENT_LABEL_TEAM","Хочу грати (натисни, щоб змінити)"
"TID_LFG_POPUP_START_SEARCH","ВПЕРЕД!"
"TID_LFG_NO_ROOM_FOR_PLAYERS","У цьому ігровому режимі не може брати участь більше гравців."
"TID_LFG_NOT_AVAILABLE_FOR_MODE","Недоступно в поточному ігровому режимі"
"TID_LOOKING_FOR_A_TEAM","У ПОШУКУ КОМАНДИ"
"TID_LOOKING_FOR_A_MEMBER","У ПОШУКУ УЧАСНИКА"
"TID_CC_TEASER_TITLE","Уже скоро!"
"TID_CC_TEASER_INFO","Готуйся до випробування чемпіонату з <WIN> перемогами!\n\nГрайте з друзями або використовуй функцію пошуку команди, щоб підвищити свої шанси на успіх.\n\nІ пам’ятай, випробування триватиме лише <DURATION> год.!"
"TID_CC_POPUP_TITLE","ВИПРОБУВАННЯ ЧЕМПІОНАТУ"
"TID_CC_POPUP_1_TITLE","КУБОК PSG"
"TID_CC_POPUP_TITLE_PSG_21","КУБОК PSG 2021"
"TID_CC_POPUP_DESC","Отримай неймовірні нагороди за кожну перемогу! Щоб пройти випробування, потрібно перемогти <WINS> разів, але після <LOSSES> поразок ти вилетиш!"
"TID_CC_POPUP_1_DESC","Неймовірні нагороди за кожну перемогу! Щоб виграти Кубок PSG, потрібно перемогти <WINS> разів, але після <LOSSES> поразок ти вибуваєш!"
"TID_CC_POPUP_WINS","<WINS> із <MAX> ПЕРЕМОГ"
"TID_CC_POPUP_WINS_FOR_EVENT","<LEVEL>-ИЙ ЕТАП"
"TID_POPUP_WINS_FOR_EVENT_PSG_1","ЧВЕРТЬФІНАЛ"
